ods_code,name,alt_names,type,region,ics,correspondent,url
RFS,Chesterfield Royal Hospital NHS Foundation Trust,Chesterfield Royal Hospital;Chesterfield Royal,Acute and Acute & Community Trusts,Midlands,Derby and Derbyshire,Annabelle,https://www.chesterfieldroyal.nhs.uk/about-us/our-board-directors/board-directors-papers-meetings-and-minutes
RHA,Nottinghamshire Healthcare NHS Foundation Trust,Nottinghamshire Healthcare,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",Midlands,Nottingham and Nottinghamshire,Annabelle,https://www.nottinghamshirehealthcare.nhs.uk/board-of-directors-and-meetings
RK5,Sherwood Forest Hospitals NHS Foundation Trust,Sherwood Forest Hospitals;SFH;King's Mill Hospital,Acute and Acute & Community Trusts,Midlands,Nottingham and Nottinghamshire,Annabelle,https://www.sfh-tr.nhs.uk/about-us/board-of-directors/
RNQ,Kettering General Hospital NHS Foundation Trust,Kettering General Hospital;KGH,Acute and Acute & Community Trusts,Midlands,Northamptonshire,Annabelle,https://www.kgh.nhs.uk/board-of-directors-and-board-meetings
RNS,Northampton General Hospital NHS Trust,Northampton General Hospital,Acute and Acute & Community Trusts,Midlands,Northamptonshire,Annabelle,https://www.northamptongeneral.nhs.uk/About/Our-Trust-Board/Meeting-and-papers/Meeting-papers.aspx
RP1,Northamptonshire Healthcare NHS Foundation Trust,Northamptonshire Healthcare,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",Midlands,Northamptonshire,Annabelle,https://www.nhft.nhs.uk/board/
RP7,Lincolnshire Partnership NHS Foundation Trust,Lincolnshire Partnership;LPFT,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",Midlands,Lincolnshire,Annabelle,https://www.lpft.nhs.uk/get-involved/meeting-dates-and-minutes/board-directors-meetings
RT5,Leicestershire Partnership NHS Trust,Leicestershire Partnership;LPT,"Mental Health & Learning Disability and Mental Health, Learning Disability & Community Trusts",Midlands,"Leicester, Leicestershire and Rutland",Annabelle,https://www.leicspart.nhs.uk/about-us/trust-board/
RTG,University Hospitals of Derby and Burton NHS Foundation Trust,University Hospitals of Derby and Burton;UHDB;University Hospitals Derby Burton,Acute and Acute & Community Trusts,Midlands,Derby and Derbyshire,Annabelle,https://www.uhdb.nhs.uk/trust-board-members/
RWD,United Lincolnshire Hospitals NHS Trust,United Lincolnshire Hospitals;ULHT,Acute and Acute & Community Trusts,Midlands,Lincolnshire,Annabelle,https://www.ulh.nhs.uk/about/board-meetings/
RWE,University Hospitals of Leicester NHS Trust,University Hospitals of Leicester;University Hospitals Leicester;UHL,Acute and Acute & Community Trusts,Midlands,"Leicester, Leicestershire and Rutland",Annabelle,https://www.uhleicester.nhs.uk/about/board/board-papers-and-meetings/
